SubNo,TrialNo,Mapping,State,Resp,Acc,Reward,Balance,ReactionTime,UncerCond,RewardedOrNot
2,73,1,1,1,1,10,450,916,SU,1
2,74,1,1,1,1,10,460,866,SU,1
2,75,1,0,1,0,0,460,1216,SU,0
2,76,1,1,0,0,0,460,683,SU,0
2,77,1,1,1,1,10,470,916,SU,1
2,78,1,0,1,0,0,470,900,SU,0
2,79,1,0,1,0,0,470,1683,SU,0
2,80,1,1,0,0,0,470,916,SU,0
2,81,1,1,1,1,10,480,1166,SU,1
2,82,1,0,0,1,10,490,1316,SU,1
2,83,1,0,0,1,10,500,1550,SU,1
2,84,1,0,0,1,10,510,1616,SU,1
2,85,1,1,0,0,0,510,1150,SU,0
2,86,1,0,1,0,0,510,900,SU,0
2,87,1,1,0,0,0,510,883,SU,0
2,88,1,1,0,0,0,510,1033,SU,0
2,89,1,1,1,1,10,520,800,SU,1
2,90,1,1,0,0,0,520,966,SU,0
2,91,1,1,0,0,0,520,1133,SU,0
2,92,1,1,1,1,10,530,1716,SU,1
2,93,1,1,0,0,0,530,1833,SU,0
2,94,1,0,1,0,0,530,1216,SU,0
2,95,1,0,1,0,0,530,2100,SU,0
2,96,1,1,0,0,0,530,816,SU,0
2,97,1,1,0,0,0,530,866,SU,0
2,98,1,0,0,1,10,540,1750,SU,1
2,99,1,0,0,1,10,550,700,SU,1
2,100,1,0,0,1,10,560,1150,SU,1
2,101,0,1,0,0,0,560,950,SU,0
2,102,0,1,0,0,0,560,1233,SU,0
2,103,0,1,1,1,10,570,683,SU,1
2,104,0,1,1,1,10,580,783,SU,1
2,105,0,0,1,0,0,580,833,SU,0
2,106,0,0,0,1,10,590,1083,SU,1
2,107,0,0,0,1,10,600,933,SU,1
2,108,0,1,1,1,10,610,1033,SU,1
2,109,0,0,0,1,10,620,900,SU,1
2,110,0,0,0,1,10,630,1066,SU,1
2,111,0,0,0,1,10,640,816,SU,1
2,112,0,1,0,0,0,640,1883,SU,0
2,113,0,0,1,0,0,640,1716,SU,0
2,114,0,1,0,0,0,640,1233,SU,0
2,115,0,0,1,0,0,640,2750,SU,0
2,116,0,1,1,1,10,650,1300,SU,1
2,117,0,1,1,1,10,660,1033,SU,1
2,118,0,1,0,0,0,660,1050,SU,0
2,119,0,0,1,0,0,660,1066,SU,0
2,120,0,1,1,1,10,670,950,SU,1
2,121,0,1,0,0,0,670,950,SU,0
2,122,0,1,0,0,0,670,1050,SU,0
2,123,0,0,0,1,10,680,700,SU,1
2,124,0,0,0,1,10,690,700,SU,1
2,125,0,1,1,1,10,700,1066,SU,1
2,126,0,0,1,0,0,700,1016,SU,0
2,127,0,0,0,1,10,710,1183,SU,1
2,128,0,0,0,1,10,720,716,SU,1
2,129,0,0,0,1,10,730,1133,SU,1
2,130,0,0,1,0,0,730,1500,SU,0
2,131,0,0,0,1,10,740,616,SU,1
2,132,0,1,1,1,10,750,1300,SU,1
2,133,0,1,1,1,10,760,916,SU,1
2,134,0,0,1,0,0,760,1966,SU,0
2,135,0,1,0,0,0,760,700,SU,0
