"","SubNo","TrialNo","Mapping","State","Resp","Acc","Reward","Balance","ReactionTime","UncerCond","RewardedOrNot","RewardProp_WTA","RewardProp_PWRL","RewardProp_BISAW","RewardSucc_WTA","RewardSucc_PWRL","RewardSucc_BISAW","RewardFail_WTA","RewardFail_PWRL","RewardFail_BISAW"
"101",1,101,0,0,1,0,0,580,1933,"SU",0,0.25,0.32,0.42,25,32,42,75,68,58
"102",1,102,0,1,0,0,0,580,1816,"SU",0,0.24,0.42,0.31,24,42,31,76,58,69
"103",1,103,0,1,1,1,10,590,1233,"SU",1,0.22,0.38,0.3,22,38,30,78,62,70
"104",1,104,0,0,1,0,0,590,1083,"SU",0,0.26,0.37,0.41,26,37,41,74,63,59
"105",1,105,0,0,1,0,0,590,1366,"SU",0,0.24,0.4,0.41,24,40,41,76,60,59
"106",1,106,0,0,0,1,10,600,1499,"SU",1,0.3,0.38,0.34,30,38,34,70,62,66
"107",1,107,0,1,1,1,10,610,2283,"SU",1,0.32,0.37,0.35,32,37,35,68,63,65
"108",1,108,0,0,1,0,0,610,1250,"SU",0,0.35,0.39,0.36,35,39,36,65,61,64
"109",1,109,0,1,1,1,10,620,1733,"SU",1,0.29,0.36,0.41,29,36,41,71,64,59
"110",1,110,0,0,1,0,0,620,1666,"SU",0,0.29,0.37,0.44,29,37,44,71,63,56
"111",1,111,0,1,0,0,0,620,1350,"SU",0,0.23,0.43,0.39,23,43,39,77,57,61
"112",1,112,0,1,1,1,10,630,1050,"SU",1,0.26,0.4,0.35,26,40,35,74,60,65
"113",1,113,0,0,0,1,10,640,1200,"SU",1,0.35,0.35,0.43,35,35,43,65,65,57
"114",1,114,0,0,1,0,0,640,983,"SU",0,0.26,0.36,0.43,26,36,43,74,64,57
"115",1,115,0,1,0,0,0,640,1200,"SU",0,0.27,0.41,0.27,27,41,27,73,59,73
"116",1,116,0,1,0,0,0,640,1633,"SU",0,0.25,0.43,0.44,25,43,44,75,57,56
"117",1,117,0,1,0,0,0,640,1250,"SU",0,0.36,0.33,0.43,36,33,43,64,67,57
"118",1,118,0,0,1,0,0,640,983,"SU",0,0.3,0.32,0.43,30,32,43,70,68,57
"119",1,119,0,0,1,0,0,640,2150,"SU",0,0.34,0.37,0.43,34,37,43,66,63,57
"120",1,120,0,0,1,0,0,640,1816,"SU",0,0.4,0.3,0.43,40,30,43,60,70,57
"121",1,121,0,0,0,1,10,650,1266,"SU",1,0.29,0.41,0.43,29,41,43,71,59,57
"122",1,122,0,1,1,1,10,660,1383,"SU",1,0.32,0.42,0.38,32,42,38,68,58,62
"123",1,123,0,1,0,0,0,660,1116,"SU",0,0.28,0.42,0.43,28,42,43,72,58,57
"124",1,124,0,1,1,1,10,670,1183,"SU",1,0.25,0.33,0.43,25,33,43,75,67,57
"125",1,125,0,1,0,0,0,670,1216,"SU",0,0.32,0.31,0.39,32,31,39,68,69,61
"126",1,126,0,0,1,0,0,670,1150,"SU",0,0.27,0.32,0.43,27,32,43,73,68,57
"127",1,127,0,1,0,0,0,670,883,"SU",0,0.25,0.33,0.51,25,33,51,75,67,49
"128",1,128,0,0,0,1,10,680,2116,"SU",1,0.29,0.38,0.44,29,38,44,71,62,56
"129",1,129,0,0,1,0,0,680,1317,"SU",0,0.27,0.25,0.33,27,25,33,73,75,67
"130",1,130,0,1,1,1,10,690,916,"SU",1,0.31,0.31,0.4,31,31,40,69,69,60
"131",1,131,0,1,1,1,10,700,916,"SU",1,0.28,0.4,0.41,28,40,41,72,60,59
"132",1,132,0,1,0,0,0,700,1116,"SU",0,0.32,0.41,0.49,32,41,49,68,59,51
"133",1,133,0,0,1,0,0,700,783,"SU",0,0.41,0.35,0.48,41,35,48,59,65,52
"134",1,134,0,1,0,0,0,700,1133,"SU",0,0.37,0.37,0.37,37,37,37,63,63,63
"135",1,135,0,0,1,0,0,700,2350,"SU",0,0.34,0.33,0.37,34,33,37,66,67,63
"136",1,136,0,1,0,0,0,700,950,"SU",0,0.34,0.37,0.39,34,37,39,66,63,61
"137",1,137,0,0,1,0,0,700,1117,"SU",0,0.34,0.41,0.44,34,41,44,66,59,56
"138",1,138,0,0,0,1,10,710,866,"SU",1,0.38,0.33,0.34,38,33,34,62,67,66
"139",1,139,0,1,1,1,10,720,1083,"SU",1,0.39,0.41,0.36,39,41,36,61,59,64
"140",1,140,0,1,0,0,0,720,1083,"SU",0,0.39,0.42,0.44,39,42,44,61,58,56
"141",1,141,0,0,0,1,10,730,1650,"SU",1,0.32,0.31,0.36,32,31,36,68,69,64
"142",1,142,0,1,0,0,0,730,1533,"SU",0,0.34,0.35,0.5,34,35,50,66,65,50
"143",1,143,0,1,1,1,10,740,733,"SU",1,0.29,0.34,0.46,29,34,46,71,66,54
"144",1,144,0,0,1,0,0,740,983,"SU",0,0.29,0.39,0.48,29,39,48,71,61,52
"145",1,145,0,0,1,0,0,740,850,"SU",0,0.35,0.29,0.39,35,29,39,65,71,61
"146",1,146,0,0,0,1,10,750,933,"SU",1,0.39,0.42,0.47,39,42,47,61,58,53
"147",1,147,0,0,0,1,10,760,716,"SU",1,0.37,0.3,0.38,37,30,38,63,70,62
"148",1,148,0,1,0,0,0,760,700,"SU",0,0.37,0.41,0.42,37,41,42,63,59,58
"149",1,149,0,1,1,1,10,770,850,"SU",1,0.34,0.37,0.51,34,37,51,66,63,49
"150",1,150,0,1,0,0,0,770,1383,"SU",0,0.39,0.3,0.51,39,30,51,61,70,49
"151",1,151,0,1,1,1,10,780,1650,"SU",1,0.41,0.41,0.46,41,41,46,59,59,54
"152",1,152,0,0,1,0,0,780,1783,"SU",0,0.39,0.33,0.43,39,33,43,61,67,57
"153",1,153,0,1,0,0,0,780,1416,"SU",0,0.46,0.43,0.45,46,43,45,54,57,55
"154",1,154,0,1,1,1,10,790,1367,"SU",1,0.45,0.27,0.47,45,27,47,55,73,53
"155",1,155,0,1,1,1,10,800,1000,"SU",1,0.42,0.42,0.56,42,42,56,58,58,44
"156",1,156,0,1,1,1,10,810,966,"SU",1,0.27,0.4,0.5,27,40,50,73,60,50
"157",1,157,0,1,1,1,10,820,1833,"SU",1,0.45,0.43,0.45,45,43,45,55,57,55
"158",1,158,0,1,0,0,0,820,1233,"SU",0,0.4,0.56,0.55,40,56,55,60,44,45
"159",1,159,0,0,1,0,0,820,1083,"SU",0,0.32,0.43,0.37,32,43,37,68,57,63
"160",1,160,0,0,1,0,0,820,1066,"SU",0,0.4,0.32,0.5,40,32,50,60,68,50
"161",1,161,0,1,0,0,0,820,900,"SU",0,0.47,0.42,0.56,47,42,56,53,58,44
"162",1,162,0,0,1,0,0,820,966,"SU",0,0.41,0.32,0.38,41,32,38,59,68,62
"163",1,163,0,1,1,1,10,830,1716,"SU",1,0.45,0.4,0.52,45,40,52,55,60,48
"164",1,164,0,1,0,0,0,830,966,"SU",0,0.35,0.55,0.57,35,55,57,65,45,43
"165",1,165,0,1,1,1,10,840,1283,"SU",1,0.48,0.52,0.5,48,52,50,52,48,50
"166",1,166,0,1,0,0,0,840,1533,"SU",0,0.39,0.49,0.52,39,49,52,61,51,48
"167",1,167,0,0,0,1,10,850,883,"SU",1,0.38,0.28,0.4,38,28,40,62,72,60
"168",1,168,0,0,1,0,0,850,1583,"SU",0,0.33,0.35,0.45,33,35,45,67,65,55
"169",1,169,0,0,0,1,10,860,1300,"SU",1,0.25,0.27,0.49,25,27,49,75,73,51
"170",1,170,0,0,1,0,0,860,817,"SU",0,0.35,0.28,0.41,35,28,41,65,72,59
"171",1,171,0,0,1,0,0,860,700,"SU",0,0.35,0.38,0.46,35,38,46,65,62,54
"172",1,172,0,1,0,0,0,860,1000,"SU",0,0.49,0.43,0.55,49,43,55,51,57,45
"173",1,173,0,0,0,1,10,870,1133,"SU",1,0.39,0.26,0.47,39,26,47,61,74,53
"174",1,174,0,1,0,0,0,870,1916,"SU",0,0.37,0.33,0.55,37,33,55,63,67,45
"175",1,175,0,0,1,0,0,870,1916,"SU",0,0.39,0.34,0.45,39,34,45,61,66,55
"176",1,176,0,1,0,0,0,870,1616,"SU",0,0.51,0.32,0.51,51,32,51,49,68,49
"177",1,177,0,0,1,0,0,870,1783,"SU",0,0.43,0.31,0.41,43,31,41,57,69,59
"178",1,178,0,0,1,0,0,870,1333,"SU",0,0.48,0.38,0.48,48,38,48,52,62,52
"179",1,179,0,0,1,0,0,870,1550,"SU",0,0.38,0.33,0.47,38,33,47,62,67,53
"180",1,180,0,0,0,1,10,880,1633,"SU",1,0.34,0.41,0.51,34,41,51,66,59,49
"181",1,181,0,0,1,0,0,880,2316,"SU",0,0.46,0.45,0.49,46,45,49,54,55,51
"182",1,182,0,0,0,1,10,890,1633,"SU",1,0.51,0.46,0.52,51,46,52,49,54,48
"183",1,183,0,1,0,0,0,890,1200,"SU",0,0.46,0.43,0.47,46,43,47,54,57,53
"184",1,184,0,1,0,0,0,890,1300,"SU",0,0.52,0.37,0.59,52,37,59,48,63,41
"185",1,185,0,0,0,1,10,900,1533,"SU",1,0.46,0.41,0.52,46,41,52,54,59,48
"186",1,186,0,0,0,1,10,910,2216,"SU",1,0.46,0.53,0.55,46,53,55,54,47,45
"187",1,187,0,0,1,0,0,910,1516,"SU",0,0.46,0.39,0.45,46,39,45,54,61,55
"188",1,188,0,0,1,0,0,910,850,"SU",0,0.52,0.47,0.51,52,47,51,48,53,49
"189",1,189,0,0,0,1,10,920,1133,"SU",1,0.53,0.5,0.48,53,50,48,47,50,52
"190",1,190,0,0,1,0,0,920,1066,"SU",0,0.48,0.49,0.43,48,49,43,52,51,57
