SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
4 167 1 0.4956 1 0 0 0.000 6.100
4 168 1 0.4956 1 1 1 0.025 6.125
4 169 1 0.4745 0 0 1 0.025 6.150
4 170 1 0.4956 1 0 0 0.000 6.150
4 171 1 0.4745 0 0 1 0.025 6.175
4 172 1 0.4956 1 0 0 0.000 6.175
4 173 1 0.4745 0 0 1 0.025 6.200
4 174 1 0.4956 1 0 0 0.000 6.200
4 175 1 0.4745 0 0 1 0.025 6.225
4 176 1 0.4745 0 0 1 0.025 6.250
4 177 1 0.4956 1 0 0 0.000 6.250
4 178 1 0.4956 1 0 0 0.000 6.250
4 179 1 0.4956 1 0 0 0.000 6.250
4 180 1 0.4956 1 0 0 0.000 6.250
4 181 1 0.4745 0 1 0 0.000 6.250
4 182 1 0.4745 0 0 1 0.025 6.275
4 183 1 0.4956 1 0 0 0.000 6.275
4 184 1 0.4745 0 1 0 0.000 6.275
4 185 1 0.4956 1 0 0 0.000 6.275
4 186 1 0.4956 1 1 1 0.025 6.300
4 187 1 0.4956 1 1 1 0.025 6.325
4 188 1 0.4956 1 1 1 0.025 6.350
4 189 1 0.4745 0 1 0 0.000 6.350
4 190 1 0.4745 0 1 0 0.000 6.350
4 191 1 0.4745 0 0 1 0.025 6.375
4 192 1 0.4956 1 0 0 0.000 6.375
4 193 1 0.4956 1 1 1 0.025 6.400
4 194 1 0.4745 0 1 0 0.000 6.400
4 195 1 0.4745 0 1 0 0.000 6.400
4 196 1 0.4956 1 0 0 0.000 6.400
4 197 1 0.4745 0 1 0 0.000 6.400
4 198 1 0.4956 1 0 0 0.000 6.400
4 199 1 0.4745 0 1 0 0.000 6.400
4 200 1 0.4956 1 1 1 0.025 6.425
