SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
5 70 0 0.4959 0 0 1 0.025 5.100
5 71 0 0.5256 1 0 0 0.000 5.100
5 72 0 0.5256 1 1 1 0.025 5.125
5 73 0 0.5256 1 1 1 0.025 5.150
5 74 0 0.4959 0 0 1 0.025 5.175
5 75 0 0.4959 0 0 1 0.025 5.200
5 76 0 0.4959 0 0 1 0.025 5.225
5 77 0 0.4959 0 0 1 0.025 5.250
5 78 0 0.4959 0 0 1 0.025 5.275
5 79 0 0.5256 1 0 0 0.000 5.275
5 80 0 0.4959 0 0 1 0.025 5.300
5 81 0 0.5256 1 0 0 0.000 5.300
5 82 0 0.5256 1 1 1 0.025 5.325
5 83 0 0.5256 1 0 0 0.000 5.325
5 84 0 0.4959 0 0 1 0.025 5.350
5 85 0 0.5256 1 1 1 0.025 5.375
5 86 0 0.4959 0 0 1 0.025 5.400
5 87 0 0.5256 1 1 1 0.025 5.425
5 88 0 0.4959 0 0 1 0.025 5.450
5 89 0 0.5256 1 1 1 0.025 5.475
5 90 0 0.4959 0 1 0 0.000 5.475
5 91 0 0.4959 0 0 1 0.025 5.500
5 92 0 0.5256 1 1 1 0.025 5.525
5 93 0 0.4959 0 0 1 0.025 5.550
5 94 0 0.4959 0 0 1 0.025 5.575
5 95 0 0.5256 1 1 1 0.025 5.600
5 96 0 0.4959 0 0 1 0.025 5.625
5 97 0 0.4959 0 0 1 0.025 5.650
5 98 0 0.5256 1 1 1 0.025 5.675
5 99 0 0.5256 1 1 1 0.025 5.700
5 100 0 0.4959 0 0 1 0.025 5.725
5 101 1 0.4959 0 0 1 0.025 5.750
5 102 1 0.5256 1 0 0 0.000 5.750
5 103 1 0.4959 0 1 0 0.000 5.750
5 104 1 0.5256 1 1 1 0.025 5.775
5 105 1 0.4959 0 1 0 0.000 5.775
5 106 1 0.4959 0 0 1 0.025 5.800
5 107 1 0.5256 1 0 0 0.000 5.800
5 108 1 0.4959 0 1 0 0.000 5.800
5 109 1 0.4959 0 1 0 0.000 5.800
5 110 1 0.4959 0 0 1 0.025 5.825
5 111 1 0.5256 1 0 0 0.000 5.825
5 112 1 0.5256 1 1 1 0.025 5.850
5 113 1 0.5256 1 1 1 0.025 5.875
5 114 1 0.4959 0 0 1 0.025 5.900
5 115 1 0.5256 1 1 1 0.025 5.925
5 116 1 0.5256 1 1 1 0.025 5.950
5 117 1 0.5256 1 1 1 0.025 5.975
5 118 1 0.5256 1 1 1 0.025 6.000
5 119 1 0.4959 0 0 1 0.025 6.025
5 120 1 0.4959 0 0 1 0.025 6.050
5 121 1 0.4959 0 0 1 0.025 6.075
5 122 1 0.5256 1 0 0 0.000 6.075
5 123 1 0.5256 1 1 1 0.025 6.100
5 124 1 0.5256 1 0 0 0.000 6.100
5 125 1 0.4959 0 0 1 0.025 6.125
5 126 1 0.5256 1 1 1 0.025 6.150
