SubNo TrialNo Mapping WhiteProp State Resp Ac Reward Balance
11 87 1 0.5195 1 1 1 0.025 5.425
11 88 1 0.5195 1 0 0 0.000 5.425
11 89 1 0.5195 1 1 1 0.025 5.450
11 90 1 0.4941 0 0 1 0.025 5.475
11 91 1 0.4941 0 0 1 0.025 5.500
11 92 1 0.4941 0 1 0 0.000 5.500
11 93 1 0.5195 1 1 1 0.025 5.525
11 94 1 0.5195 1 0 0 0.000 5.525
11 95 1 0.5195 1 0 0 0.000 5.525
11 96 1 0.4941 0 0 1 0.025 5.550
11 97 1 0.4941 0 0 1 0.025 5.575
11 98 1 0.4941 0 1 0 0.000 5.575
11 99 1 0.4941 0 0 1 0.025 5.600
11 100 1 0.5195 1 0 0 0.000 5.600
11 101 0 0.5195 1 1 1 0.025 5.625
11 102 0 0.4941 0 0 1 0.025 5.650
11 103 0 0.4941 0 0 1 0.025 5.675
11 104 0 0.4941 0 0 1 0.025 5.700
11 105 0 0.5195 1 0 0 0.000 5.700
11 106 0 0.5195 1 0 0 0.000 5.700
11 107 0 0.5195 1 1 1 0.025 5.725
11 108 0 0.5195 1 1 1 0.025 5.750
11 109 0 0.4941 0 0 1 0.025 5.775
11 110 0 0.4941 0 0 1 0.025 5.800
11 111 0 0.5195 1 1 1 0.025 5.825
11 112 0 0.5195 1 1 1 0.025 5.850
11 113 0 0.5195 1 1 1 0.025 5.875
11 114 0 0.4941 0 0 1 0.025 5.900
11 115 0 0.5195 1 1 1 0.025 5.925
11 116 0 0.4941 0 0 1 0.025 5.950
11 117 0 0.5195 1 1 1 0.025 5.975
11 118 0 0.5195 1 1 1 0.025 6.000
11 119 0 0.4941 0 0 1 0.025 6.025
11 120 0 0.4941 0 0 1 0.025 6.050
11 121 0 0.5195 1 1 1 0.025 6.075
11 122 0 0.5195 1 1 1 0.025 6.100
11 123 0 0.4941 0 0 1 0.025 6.125
11 124 0 0.4941 0 0 1 0.025 6.150
11 125 0 0.4941 0 0 1 0.025 6.175
11 126 0 0.4941 0 0 1 0.025 6.200
11 127 0 0.4941 0 0 1 0.025 6.225
11 128 0 0.5195 1 1 1 0.025 6.250
11 129 0 0.5195 1 1 1 0.025 6.275
11 130 0 0.5195 1 0 0 0.000 6.275
11 131 0 0.4941 0 1 0 0.000 6.275
11 132 0 0.5195 1 1 1 0.025 6.300
11 133 0 0.4941 0 0 1 0.025 6.325
11 134 0 0.4941 0 1 0 0.000 6.325
11 135 0 0.5195 1 1 1 0.025 6.350
11 136 0 0.5195 1 1 1 0.025 6.375
11 137 0 0.5195 1 0 0 0.000 6.375
11 138 0 0.4941 0 0 1 0.025 6.400
11 139 0 0.5195 1 1 1 0.025 6.425
11 140 0 0.4941 0 0 1 0.025 6.450
11 141 0 0.5195 1 1 1 0.025 6.475
11 142 0 0.4941 0 0 1 0.025 6.500
11 143 0 0.4941 0 0 1 0.025 6.525
11 144 0 0.5195 1 1 1 0.025 6.550
11 145 0 0.4941 0 0 1 0.025 6.575
11 146 0 0.5195 1 1 1 0.025 6.600
11 147 0 0.5195 1 1 1 0.025 6.625
11 148 0 0.4941 0 0 1 0.025 6.650
11 149 0 0.4941 0 0 1 0.025 6.675
11 150 0 0.5195 1 1 1 0.025 6.700
11 151 0 0.5195 1 1 1 0.025 6.725
11 152 0 0.4941 0 1 0 0.000 6.725
11 153 0 0.4941 0 1 0 0.000 6.725
11 154 0 0.5195 1 1 1 0.025 6.750
11 155 0 0.4941 0 1 0 0.000 6.750
11 156 0 0.4941 0 0 1 0.025 6.775
11 157 0 0.4941 0 0 1 0.025 6.800
11 158 0 0.5195 1 1 1 0.025 6.825
11 159 0 0.4941 0 0 1 0.025 6.850
11 160 0 0.5195 1 1 1 0.025 6.875
11 161 0 0.5195 1 1 1 0.025 6.900
11 162 0 0.4941 0 1 0 0.000 6.900
11 163 0 0.5195 1 1 1 0.025 6.925
11 164 0 0.4941 0 0 1 0.025 6.950
11 165 0 0.4941 0 0 1 0.025 6.975
11 166 0 0.5195 1 1 1 0.025 7.000
11 167 0 0.5195 1 1 1 0.025 7.025
11 168 0 0.4941 0 1 0 0.000 7.025
11 169 0 0.4941 0 0 1 0.025 7.050
11 170 0 0.5195 1 1 1 0.025 7.075
11 171 0 0.4941 0 0 1 0.025 7.100
11 172 0 0.5195 1 0 0 0.000 7.100
11 173 0 0.4941 0 0 1 0.025 7.125
